entry_date,exit_date,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
2023-04-28 00:00:00+00:00,2023-05-19 00:00:00+00:00,SHORT,277.87,89.42,311.94,105.77,0.0,6893.857732272227,3.011685403380542,21,signal,-4.355419578870241,4.016799256464791
2023-06-16 00:00:00+00:00,2023-06-30 00:00:00+00:00,LONG,427.66,119.56,423.05,114.01,0.0,4088.940483216898,1.7820308081572422,14,signal,0.0,4.048353448372566
2023-07-10 00:00:00+00:00,2023-07-20 00:00:00+00:00,SHORT,422.5,113.97,450.96,109.4,0.25,-12658.659052960495,-5.372960911025578,10,stop_loss,-5.372960911025578,0.0
2023-09-28 00:00:00+00:00,2023-11-08 00:00:00+00:00,LONG,432.59,103.19,465.04,113.1,0.0,-2504.388322049691,-1.0511572803795026,41,signal,-2.9034907825511436,2.0416790783762493
2023-12-13 00:00:00+00:00,2024-01-16 00:00:00+00:00,SHORT,483.3,138.25,565.71,159.84,0.0,-1733.7560366491582,-0.7174421332543112,34,signal,-3.665259448584525,2.532191469961072
2024-02-06 00:00:00+00:00,2024-03-13 00:00:00+00:00,LONG,674.52,167.0,905.1,194.27,0.25,20446.521218600687,8.927483762238907,36,profit_target,0.0,8.927483762238907
2024-04-02 00:00:00+00:00,2024-04-30 00:00:00+00:00,SHORT,892.4,178.1,850.48,147.39,0.25,-14809.694442362594,-6.272838374887475,28,stop_loss,-6.272838374887475,0.8144482159031639
2024-05-29 00:00:00+00:00,2024-06-11 00:00:00+00:00,LONG,1136.0,164.2,121.05,158.62,0.25,-99464.31491013954,-42.972947689180145,13,stop_loss,-42.972947689180145,3.737583846562933
2024-06-20 00:00:00+00:00,2024-07-08 00:00:00+00:00,LONG,130.19,162.1,128.69,179.48,0.25,-12324.035201611827,-5.9369694527511365,18,stop_loss,-5.9369694527511365,0.0
2024-10-28 00:00:00+00:00,2024-11-01 00:00:00+00:00,SHORT,140.23,161.23,139.33,141.92,0.25,-11584.251185397141,-5.667438262714657,4,stop_loss,-5.667438262714657,0.0
2025-01-28 00:00:00+00:00,2025-02-25 00:00:00+00:00,LONG,127.66,114.17,128.18,104.46,0.0,8875.87831432851,4.456096573748341,28,signal,-4.419352345699181,4.852767786619429
2025-03-19 00:00:00+00:00,2025-04-03 00:00:00+00:00,LONG,118.8,107.07,102.41,94.02,0.0,-1682.4932932797592,-0.804004130215956,15,signal,-3.6743874723700998,0.0
2025-06-05 00:00:00+00:00,2025-06-23 00:00:00+00:00,LONG,138.95,114.75,145.5,132.52,0.0,-10959.803447732436,-5.385956453670189,18,signal,-5.385956453670189,0.46450306962976234
2025-06-26 00:00:00+00:00,2025-08-08 00:00:00+00:00,SHORT,155.3,144.27,182.81,172.5,0.0,1777.674453524488,0.9266879537548773,43,signal,-4.635796594985315,5.273648478109772
2025-09-25 00:00:00+00:00,2025-10-02 00:00:00+00:00,SHORT,177.02,160.37,188.97,170.19,0.0,-690.9044245042159,-0.31365493367089026,7,signal,-2.244753223513527,0.0
2025-10-06 00:00:00+00:00,2025-10-07 00:00:00+00:00,LONG,185.63,206.97,184.96,210.55,0.0,-2148.211019706838,-1.0453261609142883,1,signal,-1.0453261609142883,0.0
2025-10-08 00:00:00+00:00,2025-11-17 00:00:00+00:00,SHORT,189.23,240.9,186.15,239.96,0.0,1173.2373387678056,0.6187227444898186,40,signal,-4.850890986032031,3.508999472134855
2025-11-18 00:00:00+00:00,2025-12-26 00:00:00+00:00,LONG,181.15,229.12,190.14,215.03,0.0,11022.932515684892,5.556176992083472,38,signal,0.0,5.556176992083472
2026-01-05 00:00:00+00:00,2026-01-16 00:00:00+00:00,LONG,187.89,221.43,186.41,231.83,0.0,-5606.667215732865,-2.742219409929112,11,signal,-2.742219409929112,3.280907996964472
2026-01-26 00:00:00+00:00,2026-02-04 00:00:00+00:00,SHORT,186.43,250.94,177.17,204.26,0.25,-13741.706892639995,-6.817522260697135,9,stop_loss,-6.817522260697135,0.0
